RACE,SEX,START_YOB,END_YOB,AGE,CAT1,CAT2,CAT3,CAT4,CAT5,CAT6
0,0,1940,1940,8,0.158946992,0.303442909,0.365149105,0.087649519,0.065951776,0.0188597
0,0,1950,1950,8,0.218985778,0.341657274,0.316190716,0.064376347,0.04599946,0.012790426
0,0,2010,2010,8,0.50444626,0.318019642,0.140284555,0.020335771,0.013357775,0.003555997
0,0,1940,1940,9,0.156295795,0.301134313,0.367240477,0.088955172,0.067141489,0.019232754
0,0,1950,1950,9,0.215589849,0.340128909,0.318942294,0.065434393,0.046859532,0.013045023
0,0,2010,2010,9,0.49945445,0.320077055,0.142496215,0.020723268,0.013621556,0.003627455
0,0,1940,1940,10,0.153680738,0.298798001,0.369285993,0.090272229,0.068349998,0.01961304
0,0,1950,1950,10,0.212232272,0.338551224,0.321672089,0.066505428,0.047734367,0.01330462
0,0,2010,2010,10,0.494462749,0.322096676,0.1447321,0.021117698,0.013890432,0.003700345
0,0,1940,1940,11,0.1511016,0.296435158,0.371284541,0.091600507,0.069577501,0.020000692
0,0,1950,1950,11,0.208913059,0.336925156,0.324378853,0.06758945,0.04862417,0.013569312
0,0,2010,2010,11,0.489472152,0.324077382,0.146992108,0.021519168,0.014164497,0.003774693
0,0,1940,1940,12,0.148558148,0.294046973,0.37323503,0.092939809,0.070824193,0.020395847
0,0,1950,1950,12,0.205632207,0.335251666,0.327061336,0.068686452,0.049529144,0.013839195
0,0,2010,2010,12,0.484483653,0.326018065,0.149276122,0.021927785,0.014443846,0.003850529
0,0,1940,1940,13,0.146050143,0.29163463,0.37513639,0.094289929,0.072090265,0.020798643
0,0,1950,1950,13,0.202389696,0.333531739,0.329718287,0.069796416,0.050449492,0.01411437
0,0,2010,2010,13,0.479498244,0.327917631,0.151584009,0.022343656,0.014728577,0.003927883
0,0,1940,1940,14,0.14357734,0.289199315,0.37698757,0.095650644,0.073375909,0.021209222
0,0,1950,1950,14,0.199185495,0.33176638,0.332348449,0.070919321,0.051385419,0.014394937
0,0,2010,2010,14,0.474516914,0.329775,0.153915621,0.022766892,0.015018787,0.004006785
0,0,1940,1940,15,0.141139484,0.286742211,0.378787542,0.097021725,0.074681313,0.021627726
0,0,1950,1950,15,0.196019555,0.329956613,0.33495057,0.072055135,0.052337131,0.014680997
0,0,2010,2010,15,0.469540652,0.331589108,0.156270795,0.023197602,0.015314578,0.004087265
0,0,1940,1940,16,0.138736316,0.284264496,0.3805353,0.098402924,0.076006662,0.022054303
0,0,1950,1950,16,0.188412719,0.325334256,0.34120892,0.074896624,0.054740611,0.01540687
0,0,2010,2010,16,0.464570438,0.333358912,0.158649348,0.023635897,0.01561605,0.004169355
0,0,1940,1940,17,0.136367569,0.281767345,0.382229863,0.099793986,0.077352138,0.022489099
0,0,1950,1950,17,0.181034608,0.320466692,0.347272433,0.077814807,0.057243417,0.016168044
0,0,2010,2010,17,0.459607252,0.335083384,0.161051083,0.024081888,0.015923307,0.004253087
0,0,1940,1940,18,0.134032972,0.279251925,0.383870276,0.101194638,0.078717921,0.022932267
0,0,1950,1950,18,0.173883517,0.315370307,0.353122827,0.080808582,0.059848592,0.016966175
0,0,2010,2010,18,0.454652065,0.336761516,0.163475786,0.024535687,0.016236454,0.004338492
0,0,1940,1940,19,0.131732247,0.276719401,0.385455608,0.102604598,0.080104187,0.023383959
0,0,1950,1950,19,0.166957316,0.310061919,0.358742091,0.083876509,0.062559172,0.017802993
0,0,2010,2010,19,0.449705844,0.338392324,0.165923222,0.024997407,0.016555598,0.004425606
0,0,1940,1940,20,0.12946511,0.274170925,0.386984957,0.104023569,0.081511109,0.02384433
0,0,1950,1950,20,0.160253485,0.304558678,0.364112584,0.087016784,0.065378169,0.0186803
0,0,2010,2010,20,0.444769546,0.339974844,0.168393141,0.025467162,0.016880847,0.00451446
0,0,1940,1940,21,0.127231273,0.271607645,0.388457448,0.10545124,0.082938854,0.02431354
